LARGHEZZA (mm);LUNGHEZZA (mm)
880;2180
720;1950
710;1980
725;2070
725;2070
860;2185
785;2175
915;2142
940;2170
920;2196
880;2180
831;1924
768;1935
831;1924
768;1924
800;2110
820;2104
800;2110
820;2104
795;2100
800;2108
795;2100
780;2030
780;2030
810;2235
825;2230
810;2235
775;2245
775;2245
810;2250
830;2140
720;2095
745;2055
710;2100
750;2125
920;2260
820;2165
685;2060
840;2355
785;2170
827;2176
735;2025
;
730;2070
905;2185
785;2105
880;2215
720;2025
720;2025
740;2090
730;2065
700;2095
695;2070
830;2320
700;2050
780;2080
770;2080

785;2150
875;2205
720;2170
815;2380
;
685;2007
820;20026
;
775;2030
725;2075
800;2060
790;2120
750;2135
745;2130
865;2205
715;2040
715;2045
715;2040
745;2135
750;2135
815;2180
715;2090
790;2140
770;2060
790;2115
;
690;2060
860;2250
725;2072
660;2050
780;2115
810;2250
860;2250
690;2060
;
800;2200
765;2125
710;2080
750;2095
705;2035
720;2065
690;2025
800;2180
845;2225
840;2220
780;2225
880;2340
725;2060
